2018-04-14 22:08:15:422 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.46 seconds (JVM running for 10.347)
2018-04-14 22:08:38:051 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6047 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:08:38:057 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:08:47:000 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 10.472 seconds (JVM running for 12.618)
2018-04-14 22:31:00:201 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6059 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:31:00:211 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:31:08:150 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 9.346 seconds (JVM running for 11.094)
2018-04-14 22:38:25:930 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6065 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:38:25:931 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
2018-04-14 22:38:32:899 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Started OrderServiceImplTest in 8.295 seconds (JVM running for 9.818)
2018-04-14 22:41:31:124 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - Starting OrderServiceImplTest on xieminghuideMBP.lan with PID 6071 (started by xieminghui in /Users/xieminghui/Downloads/sell)
2018-04-14 22:41:31:126 [main] INFO   com.xmh.sell.service.impl.OrderServiceImplTest - No active profile set, falling back to default profiles: default
